#Frame      Dih_00096,#Frame      Dih_00097,#Frame      Dih_00098,#Frame      Dih_00099,#Frame      Dih_00100
     214       6.2415,     214     -30.1298,     214      41.4799,     214     -38.0512,     214      20.3827
     215       4.9274,     215     -23.6797,     215      30.8662,     215     -30.3903,     215      16.3840
     216       3.2265,     216     -24.1105,     216      34.9615,     216     -34.0432,     216      20.5733
     217      12.4637,     217     -34.8027,     217      40.1882,     217     -34.4001,     217      13.9441
     218      16.8956,     218     -32.1451,     218      32.9850,     218     -23.3060,     218       4.4033
     219      10.2160,     219     -32.1759,     219      41.1605,     219     -36.8262,     219      15.7913
     220      11.7606,     220     -38.3759,     220      46.4427,     220     -43.4459,     220      20.1118
     221      11.9124,     221     -28.3316,     221      34.2364,     221     -28.5210,     221      10.7911
     222      17.2013,     222     -35.6120,     222      37.0560,     222     -30.3019,     222       7.8450
     223      21.5731,     223     -39.7462,     223      40.5815,     223     -29.4052,     223       5.8957
     224      11.2527,     224     -33.2302,     224      42.5142,     224     -37.6739,     224      16.3022
     225       0.2125,     225     -20.6556,     225      30.8105,     225     -31.5231,     225      20.6033
     226      18.0699,     226     -40.5526,     226      45.3006,     226     -36.0652,     226      12.6759
     227       8.4522,     227     -31.5865,     227      40.5327,     227     -39.4078,     227      20.6571
     228      11.5080,     228     -34.3450,     228      42.8808,     228     -35.7502,     228      15.6789
     229      22.3533,     229     -35.3415,     229      32.6845,     229     -21.5447,     229       0.4000
     230       6.9497,     230     -22.6135,     230      28.0261,     230     -25.5525,     230      11.3688
     231      15.3436,     231     -28.6402,     231      28.7658,     231     -21.7611,     231       4.0310
     232      18.4081,     232     -40.5965,     232      45.1590,     232     -37.2216,     232      12.9069
     233      10.4959,     233     -32.4037,     233      38.1353,     233     -31.1306,     233      14.4116
     234       8.5526,     234     -26.1402,     234      33.7409,     234     -31.0524,     234      14.4962
     235      -4.4585,     235     -16.5997,     235      27.8038,     235     -32.1726,     235      23.2185
     236       7.3480,     236     -28.4675,     236      35.6726,     236     -32.5904,     236      15.7934
     237      14.9129,     237     -38.1690,     237      47.4537,     237     -41.5300,     237      15.9108
     238       8.4113,     238     -28.1260,     238      37.3665,     238     -33.2201,     238      15.6890
     239       4.2977,     239     -26.8163,     239      37.3382,     239     -34.2590,     239      20.3787
     240       9.2544,     240     -30.4516,     240      41.8708,     240     -36.4898,     240      16.2485
     241      12.5373,     241     -31.5871,     241      38.1323,     241     -31.9129,     241      12.5920
     242       4.8467,     242     -26.2369,     242      35.5098,     242     -32.1721,     242      19.0446
     243       5.9390,     243     -30.6635,     243      40.4502,     243     -40.7061,     243      21.7092
     244      -9.4517,     244     -18.3174,     244      37.4949,     244     -43.9929,     244      33.7190
     245      21.2180,     245     -39.8055,     245      41.7621,     245     -31.1015,     245       5.7506
     246      10.6049,     246     -27.0428,     246      32.7018,     246     -29.7772,     246      11.6364
     247      -2.8950,     247     -22.5696,     247      37.7346,     247     -41.4983,     247      28.4430
     248      15.5572,     248     -32.0122,     248      35.5772,     248     -28.3189,     248       7.0364
     249      -0.4066,     249     -19.1066,     249      30.2133,     249     -31.3920,     249      20.8274
     250      11.0395,     250     -30.1660,     250      38.0114,     250     -32.8832,     250      14.4373
     251      -3.4005,     251     -11.5346,     251      21.5948,     251     -23.2983,     251      16.3642
     252      20.9730,     252     -39.6617,     252      44.7392,     252     -31.6559,     252       6.7597
     253      17.4006,     253     -36.7614,     253      41.4129,     253     -31.9320,     253      10.9866
     254       1.1885,     254     -25.1050,     254      38.6758,     254     -37.1196,     254      21.1538
     255      -0.5920,     255     -28.7199,     255      44.4857,     255     -45.3708,     255      29.6130
     256      14.0576,     256     -35.7645,     256      39.5918,     256     -32.6367,     256      11.9833
     257      11.9829,     257     -38.9335,     257      48.7701,     257     -44.9812,     257      20.9065
     258       3.5805,     258     -29.5984,     258      40.9622,     258     -39.8486,     258      23.5682
     259      14.0789,     259     -33.8485,     259      38.5712,     259     -30.4445,     259      11.1712
     260       2.0411,     260     -28.4607,     260      39.9126,     260     -43.5035,     260      27.4200
     261      10.0908,     261     -30.4673,     261      36.0477,     261     -33.9530,     261      16.0286
     262      -9.0628,     262     -11.2674,     262      25.1331,     262     -32.9931,     262      27.1562
     263       2.0318,     263     -21.6187,     263      31.2872,     263     -31.3612,     263      19.6200
     264      12.1491,     264     -33.4873,     264      40.6696,     264     -36.3037,     264      14.4572
     265      -6.9057,     265     -21.7535,     265      38.3565,     265     -42.2855,     265      32.7829
     266      15.0825,     266     -31.9704,     266      35.0631,     266     -27.9521,     266       8.4493
     267       3.5739,     267     -28.8938,     267      41.3366,     267     -39.8939,     267      24.0782
     268       6.6832,     268     -32.2034,     268      46.8108,     268     -44.8749,     268      22.2443
     269       3.4373,     269     -31.2020,     269      43.8345,     269     -43.2429,     269      27.7697
     270      12.0748,     270     -28.1133,     270      31.7502,     270     -27.7035,     270      10.1973
     271       6.7308,     271     -28.0790,     271      34.7644,     271     -34.9621,     271      17.5698
     272      -2.7653,     272     -20.0566,     272      33.4284,     272     -34.8219,     272      23.7705
     273       4.0775,     273     -23.3074,     273      30.4244,     273     -30.2244,     273      17.1766
     274       6.4104,     274     -17.3014,     274      20.4278,     274     -18.3595,     274       7.7809
     275       3.1125,     275     -22.2901,     275      31.9199,     275     -32.8245,     275      18.5303
     276      11.2762,     276     -29.5429,     276      34.6003,     276     -30.4645,     276      12.3969
     277       5.6276,     277     -21.1828,     277      29.1267,     277     -26.8963,     277      13.0392
     278      16.7226,     278     -37.6167,     278      42.3604,     278     -36.2964,     278      12.7136
     279      12.7253,     279     -30.4125,     279      36.8384,     279     -29.1559,     279      11.2764
     280      13.9820,     280     -31.6964,     280      36.3975,     280     -28.2538,     280       9.7581
     281      -0.1843,     281     -20.6622,     281      30.9296,     281     -32.9021,     281      21.5741
     282       5.2814,     282     -29.4426,     282      38.0698,     282     -36.5570,     282      19.5334
     283      18.2168,     283     -32.1665,     283      33.9162,     283     -24.2338,     283       4.7532
     284      11.9278,     284     -33.8810,     284      42.1035,     284     -37.9143,     284      15.8921
     285      13.4730,     285     -34.8880,     285      46.1775,     285     -39.5136,     285      15.6101
     286      -3.2091,     286     -16.7935,     286      29.4005,     286     -31.4010,     286      21.4157
     287      12.8786,     287     -30.9826,     287      31.8948,     287     -29.2441,     287      11.0370
