#Frame      Dih_00136,#Frame      Dih_00137,#Frame      Dih_00138,#Frame      Dih_00139,#Frame      Dih_00140
     211     -20.6418,     211       0.9621,     211      17.3187,     211     -29.2700,     211      31.3903
     212     -32.5913,     212       3.7633,     212      24.5909,     212     -46.3276,     212      51.7138
     213     -14.0248,     213      -8.2891,     213      25.2680,     213     -35.5834,     213      33.0376
     214     -25.4629,     214      -6.1378,     214      32.7399,     214     -50.4670,     214      48.8589
     215     -19.9631,     215      -4.5760,     215      24.0253,     215     -39.8240,     215      39.6672
     216     -23.6575,     216       0.1734,     216      21.4321,     216     -35.6710,     216      37.3636
     217     -31.9287,     217      -0.9415,     217      28.7865,     217     -48.9272,     217      51.9542
     218     -25.8497,     218       0.6865,     218      22.6982,     218     -39.0818,     218      41.5697
     219      -2.9107,     219     -17.4720,     219      29.2014,     219     -32.5964,     219      21.7055
     220      -6.3002,     220     -14.9225,     220      27.4518,     220     -31.1725,     220      24.9405
     221     -21.1252,     221      -4.2300,     221      24.8305,     221     -37.3173,     221      37.4415
     222     -24.4459,     222       0.8808,     222      20.8154,     222     -36.0423,     222      38.5252
     223     -36.6340,     223      15.1386,     223      10.0340,     223     -30.8256,     223      43.6171
     224     -18.7194,     224     -10.4960,     224      35.2038,     224     -46.9348,     224      39.9615
     225     -29.7186,     225      15.9088,     225       3.3844,     225     -21.6714,     225      33.9749
     226      -9.0182,     226     -10.2729,     226      24.1780,     226     -31.0783,     226      25.7807
     227     -33.3154,     227      13.6184,     227       9.6859,     227     -29.6300,     227      37.3009
     228     -13.8841,     228      -9.1369,     228      25.7931,     228     -32.2200,     228      30.0036
     229     -20.1132,     229      -5.0905,     229      26.2373,     229     -40.3126,     229      37.4209
     230      -7.2975,     230     -15.7772,     230      32.0988,     230     -38.2094,     230      27.9067
     231      -5.9593,     231      -6.3884,     231      15.6269,     231     -19.2911,     231      16.1606
     232      -4.2380,     232     -14.3839,     232      26.1499,     232     -29.4110,     232      21.5994
     233     -22.5155,     233      -4.0374,     233      26.2777,     233     -38.9397,     233      40.5713
     234     -10.4604,     234     -14.1935,     234      30.0031,     234     -37.3464,     234      29.3073
     235       6.1007,     235     -25.8561,     235      30.1735,     235     -31.0193,     235      16.5150
     236       1.3658,     236     -28.6331,     236      44.5080,     236     -43.3730,     236      27.6596
     237       5.5418,     237     -22.3205,     237      28.0045,     237     -24.8171,     237      13.9143
     238       0.4089,     238     -26.0843,     238      39.8456,     238     -43.0159,     238      26.4442
     239       7.5281,     239     -27.2815,     239      34.0020,     239     -32.5448,     239      16.8832
     240       8.4385,     240     -25.0675,     240      30.4446,     240     -25.9406,     240      12.1202
     241      -5.5706,     241     -17.3892,     241      31.2720,     241     -35.7980,     241      27.3649
     242       5.1736,     242     -25.0695,     242      32.0706,     242     -31.1189,     242      16.6933
     243      -4.2271,     243     -15.6625,     243      26.3026,     243     -30.5558,     243      23.0714
     244       0.0088,     244     -21.5776,     244      32.8359,     244     -32.6116,     244      20.6761
     245      -5.5013,     245     -13.4075,     245      24.7200,     245     -30.5005,     245      22.8762
     246     -13.0369,     246      -5.5459,     246      21.0214,     246     -30.1766,     246      27.0420
     247     -13.1813,     247       1.7285,     247       9.6283,     247     -18.1588,     247      19.1452
     248      -5.8400,     248       1.2365,     248       3.2967,     248      -7.0741,     248       8.4632
     249      -7.8605,     249       2.9548,     249       2.0255,     249      -6.9465,     249       9.9026
     250     -15.2959,     250      14.5583,     250      -9.0451,     250       0.8020,     250       8.9667
