#Frame      Dih_00061,#Frame      Dih_00062,#Frame      Dih_00063,#Frame      Dih_00064,#Frame      Dih_00065
     273     -41.7768,     273      20.8499,     273       7.3677,     273     -33.3363,     273      49.7579
     274     -53.1894,     274      40.1980,     274     -10.5390,     274     -19.0403,     274      45.4773
     275     -44.1764,     275      28.9006,     275      -4.0114,     275     -21.5871,     275      39.8399
     276     -24.4432,     276      39.5581,     276     -41.4816,     276      26.8239,     276      -1.8090
     277     -28.9888,     277      38.4198,     277     -31.7756,     277      15.3298,     277       8.2229
     278     -24.3979,     278      36.2602,     278     -31.4463,     278      18.2753,     278       3.5614
     279     -19.7168,     279      29.4263,     279     -28.2504,     279      16.9641,     279       1.9279
     280     -47.3666,     280      27.1615,     280      -1.4649,     280     -24.8191,     280      45.0514
     281     -37.6672,     281      16.4479,     281       9.0629,     281     -31.3226,     281      43.0688
     282     -23.4192,     282       9.4247,     282       7.3852,     282     -22.2101,     282      29.4066
     283     -12.6868,     283      24.7820,     283     -26.1643,     283      19.8060,     283      -4.1843
     284     -18.8925,     284      30.8133,     284     -30.2880,     284      19.8154,     284      -0.8888
     285     -39.2086,     285      30.2760,     285     -12.1911,     285     -10.5332,     285      31.7447
     286     -26.5718,     286       1.2539,     286      21.9240,     286     -38.5171,     286      40.0857
     287     -40.2588,     287      16.1342,     287      11.5958,     287     -36.3740,     287      50.6014
     288     -28.6922,     288      10.7806,     288       9.2622,     288     -25.5312,     288      34.5184
     289     -36.2939,     289      41.3553,     289     -31.2158,     289      10.2920,     289      16.7016
     290     -41.3145,     290      25.0098,     290      -1.2858,     290     -22.8252,     290      40.8915
     291     -36.3826,     291      24.5633,     291      -3.0965,     291     -19.1498,     291      35.3499
     292     -28.7528,     292      32.2776,     292     -23.0103,     292       6.1511,     292      15.3255
     293     -36.5040,     293      25.8738,     293      -8.7699,     293     -11.4097,     293      29.9174
     294     -40.4730,     294      21.6874,     294       3.4216,     294     -27.3999,     294      44.0551
     295     -40.3994,     295      26.8039,     295      -4.6115,     295     -20.0525,     295      41.8310
     296     -44.4551,     296      19.2340,     296       8.9646,     296     -33.2068,     296      47.5315
     297     -30.2192,     297      24.3286,     297      -9.1631,     297      -9.4029,     297      26.3953
     298     -34.2154,     298      49.4385,     298     -43.3257,     298      23.5760,     298       6.4925
     299     -46.5338,     299      44.4529,     299     -28.9442,     299       4.0085,     299      25.4432
     300     -20.1408,     300      30.7745,     300     -25.5717,     300      13.4552,     300       3.9486
     301     -45.9087,     301      41.7219,     301     -18.5854,     301      -8.5599,     301      35.0343
     302     -16.0152,     302      33.1269,     302     -40.2188,     302      30.4618,     302      -9.3406
